ISSN	Título	Estrato	Área de Avaliação	Status
1936-0851	ACS Nano	A1	ASTRONOMIA / FÍSICA	Atualizado
1616-301X	Advanced Functional Materials (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
0935-9648	Advanced Materials (Weinheim Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
0001-8732	Advances in Physics	A1	ASTRONOMIA / FÍSICA	Atualizado
1433-7851	Angewandte Chemie (International ed. Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
0066-4146	Annual Review of Astronomy and Astrophysics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1947-5454	Annual Review of Condensed Matter Physics	A1	ASTRONOMIA / FÍSICA	Atualizado
0066-426X	Annual Review of Physical Chemistry (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
0161-4940	Catalysis Reviews. Science and Engineering	A1	ASTRONOMIA / FÍSICA	Atualizado
0897-4756	Chemistry of Materials	A1	ASTRONOMIA / FÍSICA	Atualizado
1475-7516	Journal of Cosmology and Astroparticle Physics	A1	ASTRONOMIA / FÍSICA	Atualizado
1948-7185	Journal of Physical Chemistry Letters	A1	ASTRONOMIA / FÍSICA	Atualizado
0002-7863	Journal of the American Chemical Society (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1612-2011	Laser Physics Letters (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1530-6964	Nano Letters	A1	ASTRONOMIA / FÍSICA	Atualizado
1530-6984	Nano Letters (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1552-4450	Nature Chemical Biology	A1	ASTRONOMIA / FÍSICA	Atualizado
2041-1723	Nature Communications	A1	ASTRONOMIA / FÍSICA	Atualizado
1752-0894	Nature Geoscience (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
0028-0836	Nature (London)	A1	ASTRONOMIA / FÍSICA	Atualizado
1476-1122	Nature Materials (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1748-3387	Nature Nanotechnology (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1749-4885	Nature Photonics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1745-2473	Nature Physics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
1079-7114	Physical Review Letters	A1	ASTRONOMIA / FÍSICA	Atualizado
0031-9007	Physical Review Letters (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
0370-1573	Physics Reports	A1	ASTRONOMIA / FÍSICA	Atualizado
0027-8424	Proceedings of the National Academy of Sciences of the United States of America	A1	ASTRONOMIA / FÍSICA	Atualizado
0079-6425	Progress in Materials Science	A1	ASTRONOMIA / FÍSICA	Atualizado
0034-4885	Reports on Progress in Physics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
8755-1209	Reviews of Geophysics (1985)	A1	ASTRONOMIA / FÍSICA	Atualizado
0034-6861	Reviews of Modern Physics	A1	ASTRONOMIA / FÍSICA	Atualizado
0036-8075	Science (New York, N.Y.)	A1	ASTRONOMIA / FÍSICA	Atualizado
1095-9203	Science (New York, N.Y.: Online)	A1	ASTRONOMIA / FÍSICA	Atualizado
1613-6810	Small (Weinheim. Print)	A1	ASTRONOMIA / FÍSICA	Atualizado
0167-5729	Surface Science Reports	A1	ASTRONOMIA / FÍSICA	Atualizado
0935-4956	The Astronomy and Astrophysics Review	A1	ASTRONOMIA / FÍSICA	Atualizado
0004-637X	THE ASTROPHYSICAL JOURNAL	A1	ASTRONOMIA / FÍSICA	Atualizado
0067-0049	The Astrophysical Journal. Supplement Series	A1	ASTRONOMIA / FÍSICA	Atualizado
1126-6708	The Journal of High Energy Physics	A1	ASTRONOMIA / FÍSICA	Atualizado
1029-8479	The Journal of High Energy Physics (Online)	A1	ASTRONOMIA / FÍSICA	Atualizado
0165-9936	TrAC. Trends in Analytical Chemistry (Regular ed.)	A1	ASTRONOMIA / FÍSICA	Atualizado
0360-0300	ACM Computing Surveys	A2	ASTRONOMIA / FÍSICA	Atualizado
1944-8244	ACS Applied Materials & Interfaces (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1742-7061	Acta Biomaterialia	A2	ASTRONOMIA / FÍSICA	Atualizado
0108-7673	Acta Crystallographica. Section A, Foundations of Crystallography	A2	ASTRONOMIA / FÍSICA	Atualizado
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A2	ASTRONOMIA / FÍSICA	Atualizado
1359-6454	Acta Materialia (Oxford)	A2	ASTRONOMIA / FÍSICA	Atualizado
1615-4150	Advanced Synthesis & Catalysis (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1687-7357	Advances in High Energy Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
0003-2654	Analyst (London. 1877. Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
